,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
247,30/09/16,1.0,0.06,12.9,17.8,15.9,18,20.4
248,06/09/16,1.3,0.12,15.8,23.6,0.4,126,25.9
249,02/09/16,1.4,0.28,12.2,30.3,0.0,564,33.3
250,13/08/15,0.8,1.2,19.8,27.8,1.8,150,48.2
251,13/08/13,1.0,0.16,8.3,23.0,0.0,594,32.0
252,06/08/12,1.15,1.0,13.8,22.5,0.2,354,47.2
253,19/07/12,1.15,0.8,14.7,21.3,2.4,206,39.6
254,17/07/12,1.15,0.5,12.6,25.0,0.0,462,38.9
255,20/11/20,1.5,0.1,-0.1,10.6,0.0,297,26.3
256,18/07/13,1.05,4.0,15.2,30.2,0.0,614,46.3
257,03/07/13,1.2,0.32,14.9,20.3,0.0,31,42.6
258,06/11/20,1.1,0.1,2.3,13.4,0.0,491,46.8
259,21/08/20,1.5,0.1,19.3,28.1,0.0,456,61.2
260,22/11/19,0.8,0.2,3.8,12.0,5.6,268,46.8
261,04/10/19,1.4,0.1,8.1,16.5,0.2,7,46.8
262,18/09/19,1.7,0.05,8.9,20.5,0.0,701,54.0
263,10/09/19,1.75,0.1,10.2,22.9,0.0,678,36.0
264,05/09/19,1.6,0.2,7.5,20.5,0.0,108,39.6
265,27/08/19,1.6,0.2,15.6,32.5,0.0,294,43.6
266,25/07/19,1.75,0.55,22.5,41.3,0.2,636,79.6
267,22/07/19,1.35,0.3,13.4,32.7,0.0,870,29.2
268,09/07/19,1.15,0.03,9.8,25.3,0.0,893,46.8
269,02/07/19,1.7,0.2,10.6,26.4,0.0,903,37.4
270,01/10/18,1.5,0.05,7.3,16.7,0.0,455,47.9
271,01/09/17,1.25,0.44,12.4,21.2,0.2,330,46.8
272,13/06/17,1.2,0.12,9.4,23.2,0.0,459,36.0
273,27/10/16,1.0,0.04,7.6,14.5,0.0,116,20.5
274,04/10/16,1.0,0.04,5.7,18.9,0.0,600,42.8
275,10/08/16,1.25,1.632,6.9,20.5,0.0,408,42.6
276,09/09/13,0.65,0.68,10.4,19.6,0.6,133,55.8
277,23/08/13,0.8,0.26,11.3,30.7,0.0,618,33.8
278,15/10/12,1.0,0.39,2.8,14.2,1.8,457,41.0
279,06/09/12,1.0,1.5,9.3,24.0,0.0,738,38.9
280,25/06/12,1.2,0.83,14.2,20.5,1.8,102,33.5
